城市,景点,销量,票价,地址
北京,银狐洞,4,63.0,北京市房山区佛子庄乡下英水村北一区49号
北京,灵水村,6,20.0,北京市门头沟区雁翅镇702乡道西100米
北京,百泉山风景区,35,118.0,北京市怀柔区椴树岭村北台子1号
北京,观复博物馆,14,88.0,北京市朝阳区大山子张万坟金南路18号
北京,通州运河游船,2,75.0,北京市通州区运河奥体公园内二号码头
北京,兴隆郊野公园,96,19.9,北京市朝阳区高碑店乡兴隆庄甲8号
北京,八达岭熊乐园,36,155.0,北京市延庆县八达岭关城旁的山谷内
北京,中华世纪坛,51,78.0,北京市海淀区复兴路甲9号
北京,神路景区,36,30.0,北京市昌平区十三陵镇昌赤路
北京,温都水城,87,210.0,北京市昌平区北七家镇王府街55号
北京,南宫温泉水世界,18,59.0,北京市丰台区福宫路39号
北京,清凉谷风景区,56,50.0,北京市密云区石城镇四合堂村
北京,长陵,30,45.0,北京市昌平区十三陵特区怀长路与昌赤路交叉口北
北京,西游王国•西游主题乐园,51,29.9,杜家坎南路9号亿旺家居生活广场3层
北京,中国古动物馆,8,30.0,北京市西城区西直门外大街142号
北京,国家典籍博物馆,40,138.0,北京市海淀区中关村南大街33号国家图书馆内(首都体育馆)
北京,七星石,46,88.0,北京市东城区天坛内东里7号天坛公园内
北京,恭王府大戏楼,96,24.0,北京市西城区柳荫街甲14号
北京,国子监,79,118.0,北京市东城区安定门内国子监街15号
北京,十七孔桥,63,78.0,北京市海淀区新建宫门路19号颐和园内
北京,门头沟百花山自然保护区,4,40.0,北京市门头沟区109国道
北京,故宫博物院-东华门(东门),198,20.0,北京市东城区景山前街4号故宫博物院内
北京,北京西山国家森林公园,160,10.0,北京市海淀区闵庄路与香山南路交叉口西行100米
北京,钟鼓楼,68,20.0,北京市东城区钟楼湾临字9号
北京,遇见博物馆·北京798馆,4,58.9,北京市朝阳区陶瓷一街E02-1楼
北京,北京宋庆龄故居,64,20.0,北京市西城区后海北沿46号
北京,后海,87,120.0,北京市西城区羊房胡同甲23-3号
北京,宝联体育公园游泳池,96,49.9,北京市海淀区蓝靛厂南路与北洼西街交叉路口往东南约100米(宝联体育公园)
北京,端门,55,38.0,北京市东城区景山前街4号故宫博物院内
北京,太平洋海底世界,200,90.0,北京市海淀区西三环中路11号中央电视塔下面
北京,西洋楼遗址景区,87,88.0,北京市海淀区清华西路28号圆明园遗址公园长春园景区内
北京,白河湾自然风景区,70,5.0,北京市怀柔区琉璃庙镇白河北新村
北京,无名英雄广场,59,10.0,北京市海淀区西山国家森林公园内(闵庄路与香山南路交叉路口向西)
北京,皇家御河(紫御湾码头),104,59.9,北京市海淀区紫竹院公园北门内右行100米紫御湾码头
北京,乾清宫,2,240.0,北京市东城区景山前街4号故宫博物院
北京,1982农场,91,15.0,北京市通州区宋庄镇喇嘛庄村
北京,前门大街,2,100.0,北京市东城区云居胡同与珠宝市街交叉路口往东北约50米
北京,百瑞谷景区,86,80.0,北京市房山区史家营乡曹家坊村北
北京,京西古道,6,27.0,北京市门头沟区妙峰山镇水峪嘴村(近马致远故居)
北京,神武门,158,28.0,北京市东城区景山前街4号
北京,顺义虎乐园,14,78.0,北京市顺义区高丽营镇西马各庄村建军街丁91号
北京,望京楼,52,88.0,北京市密云县司马台村司马台长城游览区
北京,御花园,44,240.0,北京市东城区景山前街4号故宫博物院内
北京,古观象台,10,20.0,北京市东城区建国门东裱褙胡同2号
北京,佛香阁,61,108.0,北京市海淀区新建宫门路19号颐和园内
北京,乐仕堡绿心公园店,40,20.0,张辛庄路城市绿心森林公园南区5号楼
北京,北京后花园(白虎涧)风景区,12,60.0,北京市昌平区阳坊镇后二路
北京,崇文门饭店,38,36.0,北京市东城区（原崇文区）崇文门西大街2号（北京火车站向西1公里）
北京,圜丘,64,35.0,北京市东城区天坛路甲1号天坛公园内
北京,蝠池,50,24.0,北京市西城区什刹海前海西街17号(近定阜街)恭王府内
北京,昭陵,4,30.0,北京市昌平区十三陵景区内
北京,【北京】《大英图书馆·世界像素》来自“英国国家图书馆”的世界文明博物展,91,29.0,北京市海淀区大牛房二巷8号院
北京,泡泡堂搓背馆,88,29.0,安居路18号院B1001
北京,双林寺,272,33.0,北京市门头沟区双林寺(上燕路西200米)
北京,九眼楼生态长城展示区,64,39.0,北京市延庆区四海镇石窑村东南侧
北京,你好鸭成长乐园,80,29.0,北京市朝阳区奥林匹克森林公园北园西门内向南150米
北京,回音壁,414,88.0,北京市东城区天坛路甲1号天坛公园内
北京,啵乐乐儿童主题乐园,54,30.0,北京市丰台区西三环南路甲27号居然之家3层
北京,红栌山庄,90,59.9,北京市昌平区讲礼西16号
北京,崔村西峪橡树谷,83,30.0,北京市昌平区西峪路
北京,老君堂公园,93,7.0,北京市朝阳区十八里店乡老君堂村五环近康化桥
北京,大觉寺,6,8.0,北京市海淀区苏家坨镇大觉寺路9号
北京,大兴世界月季主题园,14,48.0,北京市大兴区魏北路28号
北京,南宫五洲植物乐园,64,58.0,北京市丰台区王佐镇南宫南路1号南宫旅游景区内
北京,八达岭长城-北八楼,8,40.0,北京市延庆区G6京藏高速58号出口八达岭长城内
北京,翠明庄,72,36.0,北京市东城区南河沿大街1号
北京,乐仕堡(国家速滑馆),45,35.8,北京市朝阳区速滑馆南路甲1号院国家速滑馆北门旁
北京,华侨大厦,79,36.0,北京市东城区王府井大街2号
北京,箭扣长城,86,7.0,北京市怀柔区雁栖镇旧水坑
北京,锡晋斋,36,38.0,北京市西城区什刹海前海西街17号(近定阜街)恭王府内
北京,葆光室,91,38.0,北京市西城区什刹海前海西街17号(近定阜街)恭王府内
北京,独乐峰,49,38.0,北京市西城区什刹海前海西街17号(近定阜街)恭王府内
北京,乐道堂,89,38.0,北京市西城区什刹海前海西街17号(近定阜街)恭王府内
北京,三庆园,70,95.0,北京市西城区大栅栏街18号6幢
北京,白浮泉蟹宝王国,38,39.0,北京市昌平区南环路与南丰路交叉口西320米
北京,雅浴湾,93,39.0,和平里街道兴化路甲11-1号
北京,沐熙汤泉(房山店),42,39.9,房山工业园区东区66号院1号楼1层
北京,德国花草茶博物馆,49,40.0,北京市通州区经济技术开发区经海四路65号院紫荆文化广场紫荆文化大厅内
北京,百里山水画廊—滴水壶,26,25.0,北京市延庆区X002(四沙路)
北京,北京时代美术馆,66,48.0,复兴路69号时代美术馆
北京,雨跃童游泳馆(航天中学店),68,42.0,北京市丰台区万源北路3号2号楼体育馆钱学森中学北校区内
北京,西山游泳馆,40,45.0,金顶山路33号北京铁路局培训中心二楼
北京,奥林匹克森林公园,43,29.0,北京市朝阳区科荟路33号
北京,司马小烧酒坊,89,238.0,北京市密云区古北口镇司马台村古北水镇景区内作坊街001号
北京,郡悦汤泉,90,49.0,长韩路6号北区1号楼3层333
北京,北京百年世界老电话博物馆,76,50.0,北京市通州区疃里东区庄园G3-108号
北京,白水寺,83,50.0,北京市房山区燕山地区白水寺森林公园
北京,长安街,41,50.0,北京市东城区广场西侧路与西长安街交叉口东150米
北京,北京欢乐水魔方,32,69.9,北京市丰台区小屯路11号
北京,X美术馆,73,1.0,北京市朝阳区半截塔路53号郎园STATION E1栋(10号库)
北京,承乾宫,88,28.0,北京市东城区景山前街4号故宫博物院内
北京,光科技馆,90,55.0,颐和园北宫门三岔口33号
北京,《遇见吴哥窟》柬埔寨国家博物馆吴哥文明文物特展,8,59.0,"798艺术区陶瓷一街E02-1楼遇见博物馆,北京798馆"
北京,昌平体育局室外游泳馆,85,28.8,永安公园与城角西路交叉口北行15米路东
北京,青山园,98,9.9,北京市延庆区刘斌堡乡G234(兴阳线)
北京,轻武器博物馆,85,30.0,北京市昌平区南口镇马坊村1号(近208所)
北京,颐和园-知春亭,2,58.0,北京市海淀区新建宫门路19号颐和园内
北京,永宁古城,38,788.0,北京市延庆区永宁镇昌赤路
北京,海淀三山五园文化艺术中心,97,58.0,北京市海淀区海淀公园路(海淀公园西北角)
北京,艺云数字艺术中心(王府井),40,58.0,北京市东城区王府井大街255号北京市百货大楼南馆4-5层
北京,奈尔宝家庭中心（北京东坝万达店）,97,58.0,"东坝中路25号2层2F-A,3层3F-A室"
北京,宜芸馆,33,58.0,北京市海淀区新建宫门路19号颐和园内
北京,清华大学-校史馆,44,78.0,北京市海淀区双清路30号清华大学内
北京,中华民族博物院,58,45.0,北京市朝阳区民族园路1号
北京,隐界268冰雪大世界,36,59.0,三间房地区平房地区三间房地区平房地区褡裢坡268号院内
北京,穿越中国(王府井喜悦店),2,59.9,北京市东城区王府井大街301号北京王府井喜悦购物中心5层东侧扶梯旁
北京,北京文旺阁木作博物馆,84,60.0,东六环东下营南开发区147号
北京,七十二长廊,71,35.0,北京市东城区天坛内东里7号天坛公园内
北京,北京民俗博物馆,2,10.0,北京市朝阳区朝阳门外大街141号
北京,【直升机】北京八达岭长城空中飞行体验游,78,65.0,北京市延庆县营城子航空路1号市区北京八达岭机场。
北京,国家自然博物馆-恐龙公园,2,68.0,北京市东城区天桥南大街126号北京自然博物馆内
北京,尚隐泉都市生活馆,2,98.0,北京市丰台区双林东路8号
北京,798艺术区,54,48.0,北京市朝阳区酒仙桥路4号798艺术区内
北京,西六宫,2,68.0,故宫博物院内
北京,爱羽之城度假区,97,68.0,北京市昌平区南口镇马兴路66号
北京,798CUBE,93,67.98,北京市朝阳区酒仙桥路4号798艺术区创意广场
北京,古哺乳动物展厅,68,68.0,北京市东城区天桥南大街126号北京自然博物馆内
北京,冶仙塔旅游风景区,54,49.0,北京市密云区檀营乡檀营村
北京,北京大学,76,58.0,北京市海淀区颐和园路5号
北京,广德楼德云社相声大会,95,95.0,前门大栅栏街39号
北京,《嗨!北京》,90,300.0,北京市西城区平安里西大街43号（中国儿童中心影剧厅）
北京,丰台体育中心游泳馆,10,58.0,北京市丰台区西四环南路55号
北京,幽谷神潭,8,38.0,北京市怀柔区怀北镇椴树岭村北黄土梁1号
北京,多福轩,81,38.0,北京市西城区前海西街17号恭王府内
北京,团结湖梦幻水乐园,78,49.9,北京市朝阳区团结湖南里16号团结湖公园南门桥内
北京,南森小鹿营地,51,72.9,北京市丰台区南苑街道南苑森林湿地公园内南森小鹿营地
北京,北京延庆奥林匹克园区,10,38.0,北京市延庆区张山营镇西大庄科村
北京,鹿营啦森林部落,76,75.0,黑泉路奥林匹克森林公园北园西门内东300米
北京,中国美术馆,42,188.0,北京市东城区五四大街1号
北京,北京不可思议运动街区(五棵松万达店),76,78.0,复兴路69号万达广场3号楼3层302
北京,钟粹宫,12,30.0,北京市东城区景山前街4号故宫博物院内
北京,古月花园汤泉,40,79.9,京周公路北侧3号院1号楼1、2、3层
北京,兴隆乐仕堡,42,79.9,兴隆街兴隆公园南门东北150米
北京,宛平城,6,30.0,北京市丰台区卢沟桥南里10号
北京,神堂峪自然风景区,36,588.0,北京市怀柔区石片村1号
北京,八达岭长城-好汉坡,22,40.0,北京市延庆区京藏高速58号出口八达岭长城北八楼旁
北京,西游王国•西游萌宠空间,96,29.9,杜家坎南路9号亿旺家居生活广场3层
北京,北京温榆河公园,95,58.0,北京市朝阳区来广营北路与滨河路交叉路口南侧
北京,颐和园-长廊,80,58.0,北京市海淀区新建宫门路19号颐和园内
北京,八达岭饭店,61,88.0,北京市延庆县八达岭长城八达岭饭店
北京,颐和园-铜牛,33,58.0,北京市海淀区新建宫门路19号颐和园内
北京,万寿山-乐寿堂,77,58.0,北京市海淀区新建宫门路19号颐和园内
北京,圆明园遗址公园绮春园景区-涵秋馆,77,85.0,北京市海淀区清华西路28号圆明园遗址公园绮春园内
北京,圆明园遗址公园绮春园景区-仙人承露台,58,85.0,北京市海淀区清华西路28号圆明园遗址公园绮春园内
北京,迷宫,43,85.0,北京市海淀区青龙桥街道清华西路28号圆明园遗址公园内
北京,雍和门殿,49,85.0,北京市东城区雍和宫大街28号(雍和宫地铁站C出口往南100米)雍和宫内
北京,谐奇趣,99,85.0,北京市海淀区清华西路28号圆明园遗址公园长春园景区内
北京,西洋楼遗址景区-海晏堂,60,85.0,北京市海淀区清华西路28号(圆明园遗址公园)
北京,雍和·艺术区,69,85.0,北京市东城区安定门东滨河路3号院1号
北京,北京延庆奇巴布乐园,2,88.0,北京市延庆区延庆镇延康路12号院1号楼1-4层101
北京,元宝集咖啡小镇,87,9.9,北京市怀柔区庙城镇焦高路西头
北京,慕田峪长城索道滑道,320,140.0,慕田峪路慕田峪长城国家级旅游景区
北京,古北水镇大酒店,8,88.0,北京密云区司马台村古北水镇旅游度假风景区
北京,德胜门,69,7.0,北京市西城区塔院胡同12号院-2-5号楼
北京,西达摩村,76,87.0,北京市门头沟西达摩村
北京,哈利波特的魔法世界,41,88.0,北京市通州区京哈高速与东六环路交汇处西北角北京环球影城
北京,皇穹宇,44,88.0,北京市东城区天坛内东里7号天坛公园回音壁内
北京,长城直升机飞行体验中心,82,1490.0,北京市延庆区八达岭镇营城子八达岭机场航空路1号
北京,灯光，摄像，开拍！,50,88.0,环球大道北京环球度假区好莱坞内
